Review #,Rating,Year/Month,Reviewer Location,Review Title,Review Text
1,5.0,May 2021,"London, UK ",Best Disneyland I’ve been to! (So far),"Best Disneyland I have been to! (So far…) I have Been to a variety of Disneyland’s, Paris and a few others, but I would have to Say this was the best one I’ve been to! It is truly magical and deserves five stars."
2,3.0,Jun 2021,"Toronto, Canada ",Go to Disney somewhere else,"After experiencing Disney World in Florida and Disneyland in Anaheim, Disney Shanghai is a big disappointment.  There don't seem to be any rides and all of the rides they do have, you need to line up for hours just to ride.  We got there and got through the gates just after 10am and left at 8pm and were able to go on only 4 rides!  The parade was very short, with only a couple of floats.  The food up near Iron had a vegan burger which I thought was good.  It has the feel of Disney yet something seems to be missing."
3,5.0,Dec 2021,"Shenzhen, China ",Christmas magic,A pretty magical place. Rides were amazing and the experience smooth and easy even with small kids in tow. Recommend two days and hotel stay to get the most value. Early entry and fast pass invaluable.Dining experience in the park was poor; best eat in the village outside the gates.Fireworks show on Xmas day was an unforgettable experience. Upon leaving my thoughts turns to when I’ll come back…
4,4.0,Dec 2021,"Washington, ",Disney is always a happy place!,Lovely visit. Not many exciting rides but nice to walk around. Food is not that good as it is of food court style. Better to dine at Disneytown. Mickey’s Parade was fun. Fireworks display at night was fantastic.
5,5.0,Dec 2021,"Shanghai, China, ",Magical,"What an amazing magical place especially for Christmas . So great and totally worth a visit , good rides, good food in the town just a magical happy place ."
6,4.0,Sep 2021,United Kingdom ,Pretty good,"It was pretty good. Overall I enjoyed the experience, but I personally prefer the ones in America as the rides are more exciting."
7,1.0,Oct 2021,N/A,Ruined Disney Experience for Chinese and Foreign Couple,"Me and my partner had a bad experience at Disneyland. We purchased two nights at the Toy Story Hotel and tickets for the second day. When we arrived, three members of staff all told us that we needed to go to Disney Town the next morning to collect the tickets. So at 07:00 in the morning, we took a bus to Disney Town..But we were told by the staff there that there was no record or proof that we had purchased the tickets and that we needed to get confirmation from the hotel! So this meant, me and my partner, taking the bus BACK to the hotel only for them to give us tickets to get in to the park. What a mess! It really ruined our mood. At first I thought it could have been a misunderstanding, but we are both fluent in Chinese and English, yet they said the same thing in both languages. Lack of experience? I don't know. But it really ruined our experienced as we didn't get into the park until 10:00am when it was already crowded."
8,5.0,Sep 2020,Austria ,A place for your inner child,"Visited the park in 2019, pre-Covid and had a blast.The queues weren’t too bad, as we found out we picked quite a good day for our visit and we were able to enjoy almost all of the attractions we were interested in.Even on a not so busy day, some of the attractions were a bit busy and we were thinking that a fast pass would have been a good idea…but then again, the concept of fast passes is a bit of a wallet burning idea.TRON ride is a unique experience that was something else and we really enjoyed Star Wars hall - the 2 meters high Lord Vader was stealing the show.The Pirates of the Caribbean are also a must, as the visual effects are incredible, especially compared to some European parks.Most of us have been to a few amusement parks and this was one of the better ones - however, you should come prepared, as the prices inside are quite high and English translations are not present everywhere."
9,4.0,Jul 2021,N/A,Disney Magic With a Billion People…,"I am a huge fan of Florida’s Disney World and have been to Disneyland California and Hong Kong. When I moved to China I was very excited to visit this Disneyland the first chance I had. With that said, while the overall experience was fun and had Disney magic, I was a little disappointed. From what I have read the park had changed post-COVID and not for the better. Bottom Line: if you’re a Disney super fan like me and prepared for huge crowds the beauty and uniqueness of this park is worth it. Otherwise the crowds and long lines without free fastpass make this park a challenge!! Details: 1) be prepared for HUGE crowds. We went on a weekday and I would hate to see it on a weekend. LONG lines for everything, even bag check + entry turnstiles took about 1.5 hrs (standing in hot direct sun). 2) We arrived 1.5 hours before park opened and got in 5 minutes after opening. The line for some big rides (Soarin) was already almost 3 hours. They do sell early access passes so this might be worth it but I think with crowds from the resorts entering early it would still be very busy. 3) Fastpass. This was the biggest and most frustrating change of all. There are NO free fastpass. You can buy fastpass in packages or for single rides but it’s EXPENSIVE- one pass was 180RMB or about $28!! That’s crazy. And with the giant lines…you have to choose either to just wait or pay up. :/ 4) As for lines- as a frequent visitor of WDW in Florida I was very surprised that early morning lines were actually longer than late morning-early afternoon. Keep an eye on the wait times in the app and try to ride during the afternoon, parades, etc. The Seven Dwarfs Mine Train and Tron had manageable (1 hr or less) lines during the night shows so this is a good option if you’re not watching the night show. As for the night show, plan to stake out a spot around 6:30 for the 8pm show if you want a decent view of the castle.  5) The food is not good and is very expensive (more expensive than WDW). Many people have posted that you can’t bring in food; this is not the case in 2021. We packed plenty of snacks but in hindsight I wish we would have packed actual lunch/dinner food. If you do have to eat in the park, Tangled Tree Tavern wasn’t bad. The slightly better and slightly less expensive food is just outside the park in Disneytown- a separate area you can enter/exit throughout the day with your park ticket. The ice cream in Disneytown is very good and will only set you back about $5 instead of the $10 charged in the park. 6) The Tron and Pirate rides are amazing!! Even impressed my husband who is not as much of a Disney fanatic. :) 7) The park is beautiful and SO BIG! The attention to detail you expect from Disney was amazing. 8) We live in China so we were prepared for “Chinese” behavior, which may come as a shock to other visitors. Yes, there is a lot of pushing and crowding. And we did see one little boy peeing on the pavement in front of the castle. Be prepared for pushing and other things you won’t see in America. It’s just China and it’s shocking and gross but you aren’t in America after all! Also the shows and rides are mostly in Mandarin and staff generally speaks little English. also download the Shanghai Disney app and a good VPN (we use ExpressVPN) before you come. As of July 2021 there are very little COVID measures. You have to buy/book your ticket in advance but there’s no social distancing and infrequent mask wearing."
10,5.0,Apr 2021,"Hawkshaw, UK ",Great trip for a foreigner solo traveler,"I booked a 2 day pass on the official website before arrive in Shanghai (around ¥800 weekday 2 day ticket). The subway line 11 arrives straight into the resort! Make sure you buy a return ticket as soon as you arrive! (it will save time when you return)! Day 1: Great day, weather wasn’t the best! It rained which meant that a few rides were suspended until the storm had passed! There is a parade at 12:15pm which is worth watching! Around a 1 hour and less wait for the rides! Day 2: Another great day, although this was a Friday. The park seemed much busier. There were 1/2 hours waits for the rides! There are a mixture of Chinese and western food! The bakery is a much visit!"
11,5.0,Apr 2021,"Beijing, China ",Perfect Spring Break!,"I don’t understand what is the fuss about with most people who visited Shanghai Disneyland. It’s a theme park and it WILL be crowded from time to time. And this is China. There WILL be people.We visited the park for four consecutive days buying two 2-day tickets each and found this was totally worth it every yuan. The staff at the park are polite, helpful, kind to children and help out however they can. The rides are great! Yes there are queues, and if one plans timings well, like missing the morning parade to do a “Soaring over the Horizon”, or doing TRON during Chinese dinner time, one will find practically no queues. I did buy a fast pass, only because we didn’t want to wait for 60 mins as we wanted to finish Winnie The Pooh ride and go for lunch. It’s a personal choice.If I were only with adults, queues are no big deal, but with little children I preferred a fast pass one day for a chosen ride. Food in the park is good. Limited options for vegetarians like me, but one can always go into Disneytown, eat and come back with the same ticket. It’s allowed! I find that extremely convenient!!!One can never cover everything in the park even after 4 days. It’s really big compared to HK. We loved the park although I wish they should add some specific timings for the English narration of the Pooh ride. We shall return!"
12,4.0,Apr 2021,"Chengdu, China, ",Wear Comfy Shoes and be prepared to queue!,"To enter the park you need to walk from the car park, queue up for the security check, and pass the ticket office, this is a long walk, and took 90 mins. As you must reserve your ticket at least 1day in advance, remember to bring your ID with you ( photo of your passport is fine. The park is massive, today involved a lot of walking and queueing. The top attraction waiting time was constantly three hours so we missed it out but with Pirates of the Caribbean and Tron there was plenty to do.Left tired but happy twelve hours later"
13,3.0,Apr 2021,"Shanghai, China ","good, if you are ready to pay extra 1300 per person","ADVICES to save time and nerves:GET Disnay APP in advance . Be VERY VERY early. BUy transparent water-resistant neck purse for the phone to make videos of your rides. BRING your food with you. IT will save you time.BAD app system. Presumably, you can book a ""stand by pass"" (which used to be free fast pass )  in the official Disney app, once you have a real paper ticket on hands and link it. BUT....its gets fully booked in the first 10 mins after the first people get in and nothing was available after that. WELL DONE, Disnay!  it was a very frustrating part!  PLEASE go back to manual stands inside the park where people used to book 1 free pass for every 2 hours!!!!!! it Was FAIR to everyone!You can buy a fast pass package for single or multiple rides on app. We took most expensive 800 rmb (additionally to 400 rmb ticket)  per person. So tot 1300 gives you access to fast pass of pre-selected by Disney 6 rides (we did 7 or 8 in total from 8:40 till 15:00) . It was a nice experience.  The service was good (we exchanged 1 atraction, as there were technical issues with  1 ride on the list. so we changed it, )l personnel was very helpful and well trained. I gave 3 stars because of the system glitch (was on and off during the day) and the MAIN point because we haven't got a single stand-by pass. This  SYSTEM doesn't really work !"
14,3.0,Apr 2021,"Ko Samet, Thailand ",Crowds and Line-ups a-plenty!,"If you want to spend the day spending lots of money and then lining up then this is your place!  We tried to go on a day that might not have the crowds. That was ambitious. I don't think there is every a day like that. It seemed like there aren't a lot of great rides but we did love Pirates of the Caribbean, Roaring Rapids, Tron, Buzz Lightyear, Peter Pan and Woody's Roundup. We certainly got our step count up as you wander all over all day to try to get to the places with the least line up time. The Disney app is great for letting you know the line times. Food in park is pretty poor as is available seating in restaurants...or lack of.  I'd say this was an ""okay"" Disneyland. People pushing a lot and say good bye to social distancing especially when lining up for the Pirates of the Caribbean ride. The personal space thing is something to navigate here.  Kids peeing through the fence in the line-ups (parents were there) wasn't a good thing."
